taxonKey,name
5285710,Pinus brutia
3015560,Crataegus submollis
2986122,Ribes indecorum
2882844,Vaccinium erythrocarpum
2879489,Quercus sinuata breviloba
2888980,Rumex maritimus
7230687,Pinus torreyana torreyana
2857197,Allium geyeri chatterleyi
5664271,Viola purpurea mohavensis
5331313,Viola × brauniae
7226616,Quercus parvula parvula
3234805,Limnia
4218196,Cirsium vulgare litorale
5331211,Viola nuttallii
5284809,Pinus nigra
3054328,Carya carolinae-septentrionalis
4035452,Rumex chrysocarpos
3190550,Rhus michauxii
7560711,Oxalis tetraphylla
2856940,Allium sanbornii
4270235,Allium vineale vineale
8108263,Crataegus pruinosa dissona
8436459,Rubus fruticosus
5832702,Vitis vinifera sylvestris
3001220,Malus halliana
3034839,Sanicula odorata
7096549,Phlox divaricata divaricata
2856348,Allium neapolitanum
3190559,Rhus lanceolata
2742420,Trillium ovatum maculosum
3768607,Acer negundo interior
3113757,Cirsium douglasii
4260153,Tilia americana neglecta
2781097,Hemerocallis fulva aurantiaca
2887090,Sideroxylon lanuginosum oblongifolium
6449185,Rumex paucifolius gracilescens
3039369,Ceanothus prostratus occidentalis
5331287,Viola pratincola
7872219,Rubus parviflorus
5331183,Viola lanceolata
2875979,Corylus avellana
6397021,Viola fimbriatula
2765100,Tradescantia pinetorum
8333166,Ceanothus thyrsiflorus griseus
6369288,Fragaria vesca bracteata
3039299,Ceanothus diversifolius
3084769,Claytonia palustris
5331292,Viola umbraticola
2992148,Rubus apogaeus
3042682,Brassica rapa nipposinica
2878373,Quercus lobata
2986175,Ribes californicum
4925723,Viburnum rafinesqueanum
2926939,Clinopodium dentatum
2765298,Tradescantia subaspera
7156971,Oxalis triangularis
5598586,Lonicera caerulea cauriana
3029922,Fragaria virginiana virginiana
7222035,Sambucus racemosa racemosa
3034848,Sanicula trifoliata
2742378,Trillium chloropetalum giganteum
5331358,Viola bakeri
4022053,Claytonia virginica hammondiae
5352224,Robinia hispida fertilis
2741681,Delostylis
2996525,Rubus armeniacus
2879040,Quercus minima
5663577,Viola minuscula
