searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Pinus pungens,5285139,Pinus pungens,<i>Pinus</i> <i>pungens</i> Lamb.,SPECIES,Pinaceae,3925,Pinus,2684241,Pinus pungens,5285139,99,EXACT
Lilium pardalinum pardalinum,7227532,Lilium pardalinum pardalinum,<i>Lilium</i> <i>pardalinum</i> subsp. <i>pardalinum</i>,SUBSPECIES,Liliaceae,7699,Lilium,2752977,Lilium pardalinum,2753192,88,EXACT
Lilium pardalinum shastense,2753203,Lilium pardalinum shastense,<i>Lilium</i> <i>pardalinum</i> subsp. <i>shastense</i> (Eastw.) M.W.Skinner,SUBSPECIES,Liliaceae,7699,Lilium,2752977,Lilium pardalinum,2753192,88,EXACT
Cirsium ochrocentrum martinii,4220369,Cirsium ochrocentrum martinii,<i>Cirsium</i> <i>ochrocentrum</i> var. <i>martinii</i> (Barlow-Irick) D.J.Keil,VARIETY,Asteraceae,3065,Cirsium,3112554,Cirsium ochrocentrum,3112785,85,EXACT
Viola hallii,5331348,Viola hallii,<i>Viola</i> <i>hallii</i> A.Gray,SPECIES,Violaceae,6631,Viola,2874237,Viola hallii,5331348,100,EXACT
Yucca baccata brevifolia,2775790,Yucca baccata brevifolia,<i>Yucca</i> <i>baccata</i> var. <i>brevifolia</i> L.D.Benson & Darrow,VARIETY,Asparagaceae,7683,Yucca,2775496,Yucca baccata,2775788,88,EXACT
Rudbeckia laciniata humilis,4254924,Rudbeckia laciniata humilis,<i>Rudbeckia</i> <i>laciniata</i> var. <i>humilis</i> A.Gray,VARIETY,Asteraceae,3065,Rudbeckia,3114220,Rudbeckia laciniata,3114229,88,EXACT
Crataegus persimilis,3015457,Crataegus persimilis,<i>Crataegus</i> <i>persimilis</i> Sarg.,SPECIES,Rosaceae,5015,Crataegus,3013395,Crataegus persimilis,3015457,100,EXACT
Quercus × ashei,2879836,Quercus ashei,<i>Quercus</i> × <i>ashei</i> Trel.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus ashei,2879836,99,EXACT
Tradescantia occidentalis melanthera,2765333,Tradescantia occidentalis melanthera,<i>Tradescantia</i> <i>occidentalis</i> var. <i>melanthera</i> MacRoberts,VARIETY,Commelinaceae,2763195,Tradescantia,2765096,Tradescantia occidentalis,2765322,88,EXACT
Claytonia tuberosa,3084755,Claytonia tuberosa,<i>Claytonia</i> <i>tuberosa</i> Pall. ex Willd.,SPECIES,Montiaceae,4898338,Claytonia,3084729,Claytonia tuberosa,3084755,99,EXACT
Allium crenulatum,2857353,Allium crenulatum,<i>Allium</i> <i>crenulatum</i> Wiegand,SPECIES,Amaryllidaceae,7682,Allium,9624496,Allium crenulatum,2857353,100,EXACT
Pinus monticola,5285621,Pinus monticola,<i>Pinus</i> <i>monticola</i> Douglas ex D.Don,SPECIES,Pinaceae,3925,Pinus,2684241,Pinus monticola,5285621,99,EXACT
Quercus douglasii,2878266,Quercus douglasii,<i>Quercus</i> <i>douglasii</i> Hook. & Arn.,SPECIES,Fagaceae,4689,Quercus,2877951,Quercus douglasii,2878266,100,EXACT
Claytonia exigua exigua,7219452,Claytonia exigua exigua,<i>Claytonia</i> <i>exigua</i> subsp. <i>exigua</i>,SUBSPECIES,Montiaceae,4898338,Claytonia,3084729,Claytonia exigua,3084730,88,EXACT
Allium geyeri,2857196,Allium geyeri,<i>Allium</i> <i>geyeri</i> S.Watson,SPECIES,Amaryllidaceae,7682,Allium,9624496,Allium geyeri,2857196,100,EXACT
Ceanothus otayensis,10131607,Ceanothus otayensis,<i>Ceanothus</i> × <i>otayensis</i> Mc Minn,SPECIES,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus otayensis,10131607,99,EXACT
Clinopodium glabellum,2926917,Clinopodium glabellum,<i>Clinopodium</i> <i>glabellum</i> (Michx.) Kuntze,SPECIES,Lamiaceae,2497,Clinopodium,2926907,Clinopodium glabellum,2926917,100,EXACT
Allium schoenoprasum sibiricum,2855897,Allium schoenoprasum sibiricum,<i>Allium</i> <i>schoenoprasum</i> var. <i>sibiricum</i> (L.) Hartm.,VARIETY,Amaryllidaceae,7682,Allium,9624496,Allium schoenoprasum,2855860,84,EXACT
Allium perdulce perdulce,7227636,Allium perdulce perdulce,<i>Allium</i> <i>perdulce</i> var. <i>perdulce</i>,VARIETY,Amaryllidaceae,7682,Allium,9624496,Allium perdulce,2856317,88,EXACT
Allium geyeri tenerum,2857202,Allium geyeri tenerum,<i>Allium</i> <i>geyeri</i> var. <i>tenerum</i> M.E.Jones,VARIETY,Amaryllidaceae,7682,Allium,9624496,Allium geyeri,2857196,85,EXACT
Monarda media,5341410,Monarda media,<i>Monarda</i> <i>media</i> Willd.,SPECIES,Lamiaceae,2497,Monarda,2926838,Monarda media,5341410,100,EXACT
Ceanothus × lobbianus,8932018,Ceanothus lobbianus,<i>Ceanothus</i> × <i>lobbianus</i> Hook.,SPECIES,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus lobbianus,8932018,100,EXACT
Ceanothus × serrulatus,10156140,Ceanothus serrulatus,<i>Ceanothus</i> × <i>serrulatus</i> Mc Minn,SPECIES,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus serrulatus,10156140,99,EXACT
Rumex kerneri,2889005,Rumex kerneri,<i>Rumex</i> <i>kerneri</i> Borbás,SPECIES,Polygonaceae,2416,Rumex,2888942,Rumex kerneri,2889005,99,EXACT
Ceanothus × humboldtensis,3039349,Ceanothus humboldtensis,<i>Ceanothus</i> × <i>humboldtensis</i> Roof,SPECIES,Rhamnaceae,2407,Ceanothus,3039297,Ceanothus humboldtensis,3039349,100,EXACT
Nuphar polysepala,6434926,Nuphar polysepala,<i>Nuphar</i> <i>polysepala</i> Engelm.,SPECIES,Nymphaeaceae,2423,Nuphar,2882408,Nuphar polysepala,6434926,100,EXACT
Lilium canadense,2753239,Lilium canadense,<i>Lilium</i> <i>canadense</i> L.,SPECIES,Liliaceae,7699,Lilium,2752977,Lilium canadense,2753239,99,EXACT
Ribes cynosbati,2986152,Ribes cynosbati,<i>Ribes</i> <i>cynosbati</i> L.,SPECIES,Grossulariaceae,2403,Ribes,2986095,Ribes cynosbati,2986152,100,EXACT
Rumex hymenosepalus,2889015,Rumex hymenosepalus,<i>Rumex</i> <i>hymenosepalus</i> Torr.,SPECIES,Polygonaceae,2416,Rumex,2888942,Rumex hymenosepalus,2889015,100,EXACT
Physalis virginiana,5341786,Physalis virginiana,<i>Physalis</i> <i>virginiana</i> Mill.,SPECIES,Solanaceae,7717,Physalis,2928907,Physalis virginiana,5341786,100,EXACT
Rhus trilobata trilobata,8330813,Rhus trilobata trilobata,<i>Rhus</i> <i>trilobata</i> var. <i>trilobata</i>,VARIETY,Anacardiaceae,2398,Rhus,3190534,Rhus trilobata,3190562,88,EXACT
