searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType
Elaeagnus angustifolia,3039269,Elaeagnus angustifolia,<i>Elaeagnus</i> <i>angustifolia</i> L.,SPECIES,Elaeagnaceae,2408,Elaeagnus,3039266,Elaeagnus angustifolia,3039269,99,EXACT
Cornus mas,3082263,Cornus mas,<i>Cornus</i> <i>mas</i> L.,SPECIES,Cornaceae,6713,Cornus,3082226,Cornus mas,3082263,100,EXACT
Sassafras albidum,3034002,Sassafras albidum,<i>Sassafras</i> <i>albidum</i> (Nutt.) Nees,SPECIES,Lauraceae,6688,Sassafras,8099774,Sassafras albidum,3034002,100,EXACT
Sideroxylon lanuginosum,2887069,Sideroxylon lanuginosum,<i>Sideroxylon</i> <i>lanuginosum</i> Michx.,SPECIES,Sapotaceae,8802,Sideroxylon,2886817,Sideroxylon lanuginosum,2887069,100,EXACT
Amelanchier,3023817,Amelanchier,<i>Amelanchier</i> Medik.,GENUS,Rosaceae,5015,Amelanchier,3023817,,,80,HIGHERRANK
Crataegus,3013395,Crataegus,<i>Crataegus</i> L.,GENUS,Rosaceae,5015,Crataegus,3013395,,,80,HIGHERRANK
Cercis canadensis,5353583,Cercis canadensis,<i>Cercis</i> <i>canadensis</i> L.,SPECIES,Fabaceae,5386,Cercis,2955919,Cercis canadensis,5353583,99,EXACT
Gymnocladus dioicus,2944215,Gymnocladus dioicus,<i>Gymnocladus</i> <i>dioicus</i> (L.) K.Koch,SPECIES,Fabaceae,5386,Gymnocladus,2944210,Gymnocladus dioicus,2944215,100,EXACT
Prosopis glandulosa,5358457,Prosopis glandulosa,<i>Prosopis</i> <i>glandulosa</i> Torr.,SPECIES,Fabaceae,5386,Prosopis,2970763,Prosopis glandulosa,5358457,100,EXACT
Gleditsia triacanthos,2959443,Gleditsia triacanthos,<i>Gleditsia</i> <i>triacanthos</i> L.,SPECIES,Fabaceae,5386,Gleditsia,2959442,Gleditsia triacanthos,2959443,100,EXACT
