searchedName,usageKey,canonicalName,formattedName,rank,family,family_key,genus,genus_key,species,species_key,confidence,matchType,searched_sp,matched_sp,scientificName,first_of_searched,first_of_binomial,first_of_canonical
Acer negundo,3189866,Acer negundo,<i>Acer</i> <i>negundo</i> L.,SPECIES,Sapindaceae,6657.0,Acer,3189834.0,Acer negundo,3189866.0,100,EXACT,2,2,Acer negundo,Acer,Acer,Acer
Ulmus rubra,5361867,Ulmus rubra,<i>Ulmus</i> <i>rubra</i> Muhl.,SPECIES,Ulmaceae,2382.0,Ulmus,2984510.0,Ulmus rubra,5361867.0,99,EXACT,2,2,Ulmus rubra,Ulmus,Ulmus,Ulmus
Ulmus pumila,5361877,Ulmus pumila,<i>Ulmus</i> <i>pumila</i> L.,SPECIES,Ulmaceae,2382.0,Ulmus,2984510.0,Ulmus pumila,5361877.0,99,EXACT,2,2,Ulmus pumila,Ulmus,Ulmus,Ulmus
Epigaea repens,2882805,Epigaea repens,<i>Epigaea</i> <i>repens</i> L.,SPECIES,Ericaceae,2505.0,Epigaea,2882804.0,Epigaea repens,2882805.0,100,EXACT,2,2,Epigaea repens,Epigaea,Epigaea,Epigaea
Gaultheria hispidula,2882756,Gaultheria hispidula,<i>Gaultheria</i> <i>hispidula</i> (L.) Muhl. ex Bigelow,SPECIES,Ericaceae,2505.0,Gaultheria,2882751.0,Gaultheria hispidula,2882756.0,99,EXACT,2,2,Gaultheria hispidula,Gaultheria,Gaultheria,Gaultheria
Vaccinium,2882813,Vaccinium,<i>Vaccinium</i> L.,GENUS,Ericaceae,2505.0,Vaccinium,2882813.0,,,80,HIGHERRANK,1,1,Vaccinium,Vaccinium,Vaccinium,Vaccinium
Vaccinium macrocarpon,2882841,Vaccinium macrocarpon,<i>Vaccinium</i> <i>macrocarpon</i> Aiton,SPECIES,Ericaceae,2505.0,Vaccinium,2882813.0,Vaccinium macrocarpon,2882841.0,100,EXACT,2,2,Vaccinium macrocarpon,Vaccinium,Vaccinium,Vaccinium
Vaccinium oxycoccus,2882949,Vaccinium oxycoccus,<i>Vaccinium</i> <i>oxycoccus</i> L.,SPECIES,Ericaceae,2505.0,Vaccinium,2882813.0,Vaccinium oxycoccos,2882940.0,99,EXACT,2,2,Vaccinium oxycoccus,Vaccinium,Vaccinium,Vaccinium
Vaccinium vitis-idaea,2882835,Vaccinium vitis-idaea,<i>Vaccinium</i> <i>vitis-idaea</i> L.,SPECIES,Ericaceae,2505.0,Vaccinium,2882813.0,Vaccinium vitis-idaea,2882835.0,100,EXACT,2,2,Vaccinium vitis-idaea,Vaccinium,Vaccinium,Vaccinium
Gaultheria procumbens,2882753,Gaultheria procumbens,<i>Gaultheria</i> <i>procumbens</i> L.,SPECIES,Ericaceae,2505.0,Gaultheria,2882751.0,Gaultheria procumbens,2882753.0,100,EXACT,2,2,Gaultheria procumbens,Gaultheria,Gaultheria,Gaultheria
Arctostaphylos uva-ursi,2882580,Arctostaphylos uva-ursi,<i>Arctostaphylos</i> <i>uva-ursi</i> (L.) Spreng.,SPECIES,Ericaceae,2505.0,Arctostaphylos,2882486.0,Arctostaphylos uva-ursi,2882580.0,100,EXACT,2,2,Arctostaphylos uva-ursi,Arctostaphylos,Arctostaphylos,Arctostaphylos
Arctous rubra,2882597,Arctous rubra,<i>Arctous</i> <i>rubra</i> (Rehder & E.H.Wilson) Nakai,SPECIES,Ericaceae,2505.0,Arctostaphylos,2882486.0,Arctostaphylos rubra,2882596.0,100,EXACT,2,2,Arctous rubra,Arctous,Arctous,Arctous
Arctous alpina,2882527,Arctous alpina,<i>Arctous</i> <i>alpina</i> (L.) Nied.,SPECIES,Ericaceae,2505.0,Arctostaphylos,2882486.0,Arctostaphylos alpinus,8317978.0,100,EXACT,2,2,Arctous alpina,Arctous,Arctous,Arctous
